current_city,selfdissim_current_future,future_city_1_source,future_city_1_source_dissim,future_city_2_source,future_city_2_source_dissim,future_city_3_source,future_city_3_source_dissim,Lat_change,Annual_Mean_Temperature,future_Annual_Mean_Temperature,change_Annual_Mean_Temperature,Annual_Precipitation,future_Annual_Precipitation,change_Annual_Precipitation,Max_Temperature_of_Warmest_Month,future_Max_Temperature_of_Warmest_Month,change_Max_Temperature_of_Warmest_Month,rel_change_Max_Temperature_of_Warmest_Month,Min_Temperature_of_Coldest_Month,future_Min_Temperature_of_Coldest_Month,change_Min_Temperature_of_Coldest_Month,rel_change_Min_Temperature_of_Coldest_Month,Precipitation_of_Wettest_Month,future_Precipitation_of_Wettest_Month,change_Precipitation_of_Wettest_Month,rel_change_Precipitation_of_Wettest_Month,Latitude,Longitude,future_lat,future_long,coordinate y latitude,coordinate x longitude
Budapest,1.894243591,Skopje,0.545914917,Bursa,0.776097556,Canberra,0.778016282,-5.500000204,11.23333359,14.26666667,3.033333079,545,547.3333333,2.333333333,24.39999962,32.2,7.80000038,0.319672152,-4,-0.266666667,3.733333333,-0.933333333,65,67.33333333,2.33333333,0.035897436,47.50000633,19.08332068,42.00000612,21.43346147,47.497913,19.040236
Madrid,1.083151422,Marrakesh,0.679082068,Tehran,0.70249857,Fez,0.727265382,-6.345426636,14.69583321,16.76666667,2.07083346,418,424.6666667,6.666666667,29.39999962,35.8,6.40000038,0.217687091,0,3.1,3.1,Inf,53,55.33333333,2.33333333,0.044025157,40.40002626,-3.683351686,34.05459963,-5.000377239,40.416775,-3.70379
Portland,1.249113047,San Antonio,0.7394014,Austin,0.922132688,Rosario,0.928381668,-16.03269063,11.65833378,14,2.341666222,1020,1014.666667,-5.333333333,23.70000076,30.03333333,6.33333257,0.267229214,-2.299999952,2.966666667,5.266666619,-2.289855099,163,180.3333333,17.3333333,0.106339468,45.52002382,-122.6799901,29.48733319,-98.50730534,45.523064,-122.676483
Jerusalem,1.545111563,Los Angeles,0.249537315,Hargeysa,0.318558027,Leon,0.721306491,2.211570435,16.35000038,19.6,3.249999619,448,431.6666667,-16.33333333,27.29999924,33.56666667,6.26666743,0.229548264,2.400000095,6.666666667,4.266666572,1.777777667,108,103.3333333,-4.6666667,-0.043209877,31.77840782,35.20662593,33.98997825,-118.1799805,31.771959,35.217018
Berlin,1.473413669,Canberra,0.327151667,Rostov,0.639895733,San Marino,0.705271177,-17.23879012,9.858333588,11.63333333,1.774999746,583,565.3333333,-17.66666667,22,28.13333333,6.13333333,0.278787879,-3.900000095,-1.4,2.500000095,-0.64102565,65,66.66666667,1.66666667,0.025641026,52.52181866,13.40154862,-35.28302855,149.1290262,52.531677,13.381777
Seattle,1.283094458,San Francisco,0.631669439,Rome,0.734943432,Istanbul,0.764697153,-9.829994303,11.03750038,13.6,2.562499619,958,969,11,21.39999962,27.5,6.10000038,0.285046752,-0.400000006,4.1,4.500000006,-11.24999985,155,178,23,0.148387097,47.57000205,-122.339985,37.74000775,-122.4599777,47.620422,-122.349358
London,1.313323999,Barcelona,0.713828023,Istanbul,0.731606924,Melbourne,0.791648409,-13.67996342,11.1291666,13.2,2.070833397,638,621.3333333,-16.66666667,21,26.93333333,5.93333333,0.282539683,0.200000003,3.233333333,3.03333333,15.16666643,63,68,5,0.079365079,51.49999473,-0.116721844,-37.82003131,144.9750162,51.509865,-0.118092
Toronto,1.621776854,"Washington, D.C.",0.637775718,St. Louis,0.767817704,Pittsburgh,0.787339937,-4.800430501,8.408333778,11.43333333,3.024999555,837,842,5,24.89999962,30.8,5.90000038,0.23694781,-11.19999981,-5.2,5.99999981,-0.535714278,86,91.33333333,5.33333333,0.062015504,43.69997988,-79.42002079,38.89954938,-77.00941858,43.65107,-79.347015
Zurich,1.114319371,Milan,0.439558974,San Marino,0.775917593,Banja Luka,0.803888867,-1.910012614,9.716666222,11.9,2.183333778,1102,1086.666667,-15.33333333,21.89999962,27.5,5.60000038,0.255707784,-4,0.333333333,4.333333333,-1.083333333,130,134.3333333,4.3333333,0.033333333,47.37998781,8.55001013,45.4699752,9.20500891,47.373878,8.545094
Oslo,1.056223467,Bratislava,0.220026455,Zagreb,0.387182991,Vienna,0.431452814,-11.76667196,6.616666794,8.866666667,2.249999873,722,739,17,19.5,25.1,5.6,0.287179487,-6.900000095,-4.333333333,2.566666762,-0.371980685,80,85.66666667,5.66666667,0.070833333,59.91669029,10.74997921,48.15001833,17.11698075,59.911491,10.757933
